event_type,frame_num,elapsed_us,calculated_timestamp_ms,actual_timestamp_ms,data_size_bytes,fps,audio_samples_total,video_packets_received,audio_packets_received,sequence_errors
audio,0,1618878,6390027,6387243,768,59.826,44544,1830,1374,0
video,54,1622384,6387252,6387246,368640,59.826,44544,1838,1374,0
video,55,1623824,6387217,6387248,276480,59.826,44544,1842,1375,0
audio,0,1623991,6390043,6387248,768,59.826,44736,1842,1375,0
audio,0,1627578,6390059,6387252,768,59.826,44928,1856,1376,0
audio,0,1631048,6390075,6387255,768,59.826,45120,1871,1377,0
audio,0,1635658,6390091,6387260,768,59.826,45312,1890,1378,0
video,55,1639002,6387269,6387263,368640,59.826,45312,1898,1379,0
video,56,1640341,6387234,6387264,276480,59.826,45312,1903,1379,0
audio,0,1640556,6390107,6387265,768,59.826,45504,1903,1379,0
audio,0,1642838,6390123,6387267,768,59.826,45696,1913,1380,0
audio,0,1647444,6390139,6387271,768,59.826,45888,1927,1381,0
audio,0,1650932,6390155,6387275,768,59.826,46080,1942,1382,0
video,56,1655376,6387285,6387279,368640,59.826,46080,1954,1383,0
video,57,1656695,6387251,6387281,276480,59.826,46080,1959,1383,0
audio,0,1656906,6390171,6387281,768,59.826,46272,1962,1383,0
audio,0,1659310,6390187,6387283,768,59.826,46464,1968,1384,0
audio,0,1662815,6390203,6387287,768,59.826,46656,1982,1385,0
audio,0,1667358,6390219,6387291,768,59.826,46848,2001,1386,0
video,57,1672986,6387302,6387297,368640,59.826,46848,2019,1387,0
video,58,1674661,6387267,6387299,276480,59.826,46848,2024,1388,0
audio,0,1674875,6390235,6387299,768,59.826,47040,2024,1388,0
audio,0,1674970,6390251,6387299,768,59.826,47232,2028,1388,0
audio,0,1679655,6390267,6387304,768,59.826,47424,2043,1389,0
audio,0,1683130,6390283,6387307,768,59.826,47616,2057,1390,0
